Sequence,Station Types,Station Quantity,Maximum Distance,Minimum Points,Name,Algorithm,Metric,Method,Seed,Generated Cluster Count,Valid Cluster Count,Clustered Station Count,Unclsutered Noise Count,Average Node Degree,Silhouette Coefficient,Calinski Harabaz score,Davies Bouldin score,Dunn Index,Modularity,Conductance Average,Coverage Score,Performance Score
71,['HN' 'LN'],281,20.0,4,OPTICS,auto,haversine,xi,None,8,8,53,228,25.4716981132,-0.340950442085,7.55146145826,1.34998022098,0.000566287424054,0.0684497877871,0.584461077435,0.108419139915,0.962506354855
72,['HN' 'LN'],281,30.0,4,OPTICS,auto,haversine,xi,None,11,11,66,215,24.0151515152,-0.370857261593,6.1145004569,2.26301331977,0.000566287424054,0.0660775728733,0.598191185964,0.099512195122,0.953075749873
73,['HN' 'LN'],281,40.0,4,OPTICS,auto,haversine,xi,None,13,13,81,200,22.8518518519,-0.344685530422,6.80396340114,2.44663492954,0.000566287424054,0.0682329370988,0.624242714082,0.0966962127317,0.942755465175
74,['HN' 'LN'],281,50.0,4,OPTICS,auto,haversine,xi,None,13,13,89,192,24.9550561798,-0.338590573572,8.68807768865,2.22129082908,0.000566287424054,0.0651909291355,0.650611165664,0.0910312395029,0.930376207422
75,['HN' 'LN'],281,10.0,5,OPTICS,auto,haversine,xi,None,7,7,65,216,17.1230769231,-0.271113213732,8.64019413546,1.29503668903,0.000244734071176,0.316326954246,0.366664758347,0.476804123711,0.988993390951
76,['HN' 'LN'],281,20.0,5,OPTICS,auto,haversine,xi,None,5,5,55,226,35.2363636364,-0.302328829641,6.35597762688,1.67867689113,0.000244734071176,0.103977876595,0.689146370071,0.228346456693,0.967615658363
77,['HN' 'LN'],281,30.0,5,OPTICS,auto,haversine,xi,None,7,7,68,213,32.7058823529,-0.269048459634,9.37190032844,1.2833862273,0.000244734071176,0.107567519334,0.547070251631,0.20487804878,0.958566344687
78,['HN' 'LN'],281,40.0,5,OPTICS,auto,haversine,xi,None,8,8,77,204,32.2467532468,-0.252568354366,9.79327350534,1.2957123563,0.000244734071176,0.102598499689,0.607377388763,0.17929089444,0.947941026945
79,['HN' 'LN'],281,50.0,5,OPTICS,auto,haversine,xi,None,11,11,115,166,26.4608695652,-0.224589059821,8.19231035498,2.66092016271,0.000244734071176,0.124623851724,0.560080766067,0.184413839436,0.935536349771
80,['HN' 'LN'],281,10.0,2,OPTICS,auto,haversine,dbscan,None,5,5,101,180,14.9702970297,0.000832597384939,15.6452639922,1.20629687544,0.00726937971574,0.520610253481,0.0,0.974226804124,0.971555668531
81,['HN' 'LN'],281,20.0,2,OPTICS,auto,haversine,dbscan,None,14,14,131,150,24.3053435115,-0.0798871865366,7.95220831432,2.63224679616,0.00831102648227,0.486429860434,0.337140221704,0.950938824955,0.983274021352
82,['HN' 'LN'],281,30.0,2,OPTICS,auto,haversine,dbscan,None,18,18,187,94,21.6096256684,-0.0461237791045,10.5233999594,9.37284499326,0.0153715831539,0.529477453896,0.134682543024,0.980975609756,0.947966446365
83,['HN' 'LN'],281,40.0,2,OPTICS,auto,haversine,dbscan,None,13,13,227,54,21.5814977974,-0.300420364699,25.4796696107,1.2087691625,0.0202806212671,0.505754729784,0.124007778797,0.980660757454,0.822343670564
